player_name,position,nationality,club,league
Santiago Ascacibar,Midfield,Argentina,Hertha Bsc,bundesliga
Lucas Tousart,Midfield,France,Hertha Bsc,bundesliga
Peter Pekarik,Defender,Slovakia,Hertha Bsc,bundesliga
Lukas Klunter,Defender,Germany,Hertha Bsc,bundesliga
Marvin Plattenhardt,Defender,Germany,Hertha Bsc,bundesliga
Maximilian Mittelstadt,Defender,Germany,Hertha Bsc,bundesliga
Fredrik Andre Bjorkan,Defender,Norway,Hertha Bsc,bundesliga
Jurgen Ekkelenkamp,Midfield,Netherlands,Hertha Bsc,bundesliga
Marc Oliver Kempf,Defender,Germany,Hertha Bsc,bundesliga
Rune Jarstein,Goalkeeper,Norway,Hertha Bsc,bundesliga
Nils Jonathan Korber,Goalkeeper,Germany,Hertha Bsc,bundesliga
Marcel Lotka,Goalkeeper,Poland,Hertha Bsc,bundesliga
Oliver Christensen,Goalkeeper,Denmark,Hertha Bsc,bundesliga
Alexander Schwolow,Goalkeeper,Germany,Hertha Bsc,bundesliga
Niklas Stark,Defender,Germany,Hertha Bsc,bundesliga
Marton Dardai,Defender,Germany,Hertha Bsc,bundesliga
Vladimir Darida,Midfield,Czech Republic,Hertha Bsc,bundesliga
Myziane Maolida,Attack,France,Hertha Bsc,bundesliga
Dedryck Boyata,Defender,Belgium,Hertha Bsc,bundesliga
Linus Gechter,Defender,Germany,Hertha Bsc,bundesliga
Nishan Burkart,Attack,Switzerland,Sc Freiburg,bundesliga
Vincent Vermeij,Attack,Netherlands,Sc Freiburg,bundesliga
Nils Petersen,Attack,Germany,Sc Freiburg,bundesliga
Lucas Holer,Attack,Germany,Sc Freiburg,bundesliga
Kevin Schade,Attack,Germany,Sc Freiburg,bundesliga
Roland Sallai,Attack,Hungary,Sc Freiburg,bundesliga
Noah Weisshaupt,Attack,Germany,Sc Freiburg,bundesliga
Vincenzo Grifo,Attack,Italy,Sc Freiburg,bundesliga
Janik Haberer,Midfield,Germany,Sc Freiburg,bundesliga
Woo Yeong Jeong,Attack,"Korea, South",Sc Freiburg,bundesliga
Maximilian Eggestein,Midfield,Germany,Sc Freiburg,bundesliga
Nicolas Hofler,Midfield,Germany,Sc Freiburg,bundesliga
Lukas Kubler,Defender,Germany,Sc Freiburg,bundesliga
Hugo Siquet,Defender,Belgium,Sc Freiburg,bundesliga
Christian Gunter,Defender,Germany,Sc Freiburg,bundesliga
Manuel Gulde,Defender,Germany,Sc Freiburg,bundesliga
Yannik Keitel,Midfield,Germany,Sc Freiburg,bundesliga
Keven Schlotterbeck,Defender,Germany,Sc Freiburg,bundesliga
Philipp Lienhart,Defender,Austria,Sc Freiburg,bundesliga
Nico Schlotterbeck,Defender,Germany,Sc Freiburg,bundesliga
Noah Atubolu,Goalkeeper,Germany,Sc Freiburg,bundesliga
Mark Flekken,Goalkeeper,Netherlands,Sc Freiburg,bundesliga
Kiliann Sildillia,Defender,France,Sc Freiburg,bundesliga
Kimberly Ezekwem,Defender,Germany,Sc Freiburg,bundesliga
Jonathan Schmid,Defender,France,Sc Freiburg,bundesliga
Benjamin Uphoff,Goalkeeper,Germany,Sc Freiburg,bundesliga
Ermedin Demirovic,Attack,Bosnia-Herzegovina,Sc Freiburg,bundesliga
Marcus Ingvartsen,Attack,Denmark,1 Fsv Mainz 05,bundesliga
Karim Onisiwo,Attack,Austria,1 Fsv Mainz 05,bundesliga
Jonathan Burkardt,Attack,Germany,1 Fsv Mainz 05,bundesliga
Paul Nebel,Attack,Germany,1 Fsv Mainz 05,bundesliga
Kevin Stoger,Attack,Austria,1 Fsv Mainz 05,bundesliga
Jae Sung Lee,Attack,"Korea, South",1 Fsv Mainz 05,bundesliga
Merveille Papela,Midfield,Germany,1 Fsv Mainz 05,bundesliga
Jean Paul Boetius,Attack,Netherlands,1 Fsv Mainz 05,bundesliga
Anton Stach,Midfield,Germany,1 Fsv Mainz 05,bundesliga
Niklas Tauer,Midfield,Germany,1 Fsv Mainz 05,bundesliga
Silvan Widmer,Defender,Switzerland,1 Fsv Mainz 05,bundesliga
Anderson Lucoqui,Defender,Angola,1 Fsv Mainz 05,bundesliga
Aaron Martin,Defender,Spain,1 Fsv Mainz 05,bundesliga
David Nemeth,Defender,Austria,1 Fsv Mainz 05,bundesliga
Alexander Hack,Defender,Germany,1 Fsv Mainz 05,bundesliga
Stefan Bell,Defender,Germany,1 Fsv Mainz 05,bundesliga
Jeremiah St Juste,Defender,Netherlands,1 Fsv Mainz 05,bundesliga
Moussa Niakhate,Defender,France,1 Fsv Mainz 05,bundesliga
Lasse Riess,Goalkeeper,Germany,1 Fsv Mainz 05,bundesliga
Finn Dahmen,Goalkeeper,Germany,1 Fsv Mainz 05,bundesliga
Delano Burgzorg,Attack,Netherlands,1 Fsv Mainz 05,bundesliga
Dominik Kohr,Midfield,Germany,1 Fsv Mainz 05,bundesliga
Leandro Barreiro,Midfield,Luxembourg,1 Fsv Mainz 05,bundesliga
Robin Zentner,Goalkeeper,Germany,1 Fsv Mainz 05,bundesliga
Daniel Brosinski,Defender,Germany,1 Fsv Mainz 05,bundesliga
Sebastian Andersson,Attack,Sweden,1 Fc Koln,bundesliga
Tim Lemperle,Attack,Germany,1 Fc Koln,bundesliga
Anthony Modeste,Attack,France,1 Fc Koln,bundesliga
Kingsley Schindler,Attack,Germany,1 Fc Koln,bundesliga
Jan Thielmann,Attack,Germany,1 Fc Koln,bundesliga
Marvin Obuz,Attack,Germany,1 Fc Koln,bundesliga
Louis Schaub,Attack,Austria,1 Fc Koln,bundesliga
Florian Kainz,Attack,Austria,1 Fc Koln,bundesliga
Ondrej Duda,Attack,Slovakia,1 Fc Koln,bundesliga
Mathias Olesen,Midfield,Luxembourg,1 Fc Koln,bundesliga
Tomas Ostrak,Attack,Czech Republic,1 Fc Koln,bundesliga
Dejan Ljubicic,Midfield,Austria,1 Fc Koln,bundesliga
Niklas Hauptmann,Midfield,Germany,1 Fc Koln,bundesliga
Ellyes Skhiri,Midfield,Tunisia,1 Fc Koln,bundesliga
Benno Schmitz,Defender,Germany,1 Fc Koln,bundesliga
Jannes Horn,Defender,Germany,1 Fc Koln,bundesliga
Bright Arrey Mbi,Defender,Germany,1 Fc Koln,bundesliga
Julian Chabot,Defender,Germany,1 Fc Koln,bundesliga
Luca Kilian,Defender,Germany,1 Fc Koln,bundesliga
Timo Hubers,Defender,Germany,1 Fc Koln,bundesliga
Matthias Kobbing,Goalkeeper,Germany,1 Fc Koln,bundesliga
Mark Uth,Attack,Germany,1 Fc Koln,bundesliga
Marvin Schwabe,Goalkeeper,Germany,1 Fc Koln,bundesliga
Kingsley Ehizibue,Defender,Nigeria,1 Fc Koln,bundesliga
Jonas Urbig,Goalkeeper,Germany,1 Fc Koln,bundesliga
Timo Horn,Goalkeeper,Germany,1 Fc Koln,bundesliga
Salih Ozcan,Midfield,Turkey,1 Fc Koln,bundesliga
Jonas Hector,Defender,Germany,1 Fc Koln,bundesliga
Enrique Herrero Garcia,Attack,Spain,Eintracht Frankfurt,bundesliga
Goncalo Paciencia,Attack,Portugal,Eintracht Frankfurt,bundesliga
Ragnar Ache,Attack,Germany,Eintracht Frankfurt,bundesliga
Sam Lammers,Attack,Netherlands,Eintracht Frankfurt,bundesliga
Rafael Borre,Attack,Colombia,Eintracht Frankfurt,bundesliga
Gianluca Schafer,Attack,Germany,Eintracht Frankfurt,bundesliga
Ansgar Knauff,Attack,Germany,Eintracht Frankfurt,bundesliga
Jesper Lindstrom,Attack,Denmark,Eintracht Frankfurt,bundesliga
Filip Kostic,Midfield,Serbia,Eintracht Frankfurt,bundesliga
Daichi Kamada,Attack,Japan,Eintracht Frankfurt,bundesliga
Antonio Foti,Midfield,Cyprus,Eintracht Frankfurt,bundesliga
Aymen Barkok,Attack,Morocco,Eintracht Frankfurt,bundesliga
Ajdin Hrustic,Midfield,Australia,Eintracht Frankfurt,bundesliga
Stefan Ilsanker,Midfield,Austria,Eintracht Frankfurt,bundesliga
Djibril Sow,Midfield,Switzerland,Eintracht Frankfurt,bundesliga
Erik Durm,Defender,Germany,Eintracht Frankfurt,bundesliga
Timothy Chandler,Defender,United States,Eintracht Frankfurt,bundesliga
Danny Da Costa,Defender,Germany,Eintracht Frankfurt,bundesliga
Sebastian Rode,Midfield,Germany,Eintracht Frankfurt,bundesliga
Jan Schroder,Defender,Germany,Eintracht Frankfurt,bundesliga
Christopher Lenz,Defender,Germany,Eintracht Frankfurt,bundesliga
Martin Hinteregger,Defender,Austria,Eintracht Frankfurt,bundesliga
Tuta,Defender,Brazil,Eintracht Frankfurt,bundesliga
Evan Ndicka,Defender,France,Eintracht Frankfurt,bundesliga
Jannik Horz,Goalkeeper,Germany,Eintracht Frankfurt,bundesliga
Jens Grahl,Goalkeeper,Germany,Eintracht Frankfurt,bundesliga
Kevin Trapp,Goalkeeper,Germany,Eintracht Frankfurt,bundesliga
Diant Ramaj,Goalkeeper,Germany,Eintracht Frankfurt,bundesliga
Jens Petter Hauge,Attack,Norway,Eintracht Frankfurt,bundesliga
Almamy Toure,Defender,Mali,Eintracht Frankfurt,bundesliga
Makoto Hasebe,Midfield,Japan,Eintracht Frankfurt,bundesliga
Kristijan Jakic,Midfield,Croatia,Eintracht Frankfurt,bundesliga
Andre Silva,Attack,Portugal,Rasenballsport Leipzig,bundesliga
Hugo Novoa,Attack,Spain,Rasenballsport Leipzig,bundesliga
Emil Forsberg,Attack,Sweden,Rasenballsport Leipzig,bundesliga
Dominik Szoboszlai,Attack,Hungary,Rasenballsport Leipzig,bundesliga
Dani Olmo,Attack,Spain,Rasenballsport Leipzig,bundesliga
Yussuf Poulsen,Attack,Denmark,Rasenballsport Leipzig,bundesliga
Sidney Raebiger,Midfield,Germany,Rasenballsport Leipzig,bundesliga
Kevin Kampl,Midfield,Slovenia,Rasenballsport Leipzig,bundesliga
Amadou Haidara,Midfield,Mali,Rasenballsport Leipzig,bundesliga
Konrad Laimer,Midfield,Austria,Rasenballsport Leipzig,bundesliga
Tyler Adams,Midfield,United States,Rasenballsport Leipzig,bundesliga
Nordi Mukiele,Defender,France,Rasenballsport Leipzig,bundesliga
Benjamin Henrichs,Defender,Germany,Rasenballsport Leipzig,bundesliga
Solomon Bonnah,Defender,Netherlands,Rasenballsport Leipzig,bundesliga
Mohamed Simakan,Defender,France,Rasenballsport Leipzig,bundesliga
Josko Gvardiol,Defender,Croatia,Rasenballsport Leipzig,bundesliga
Philipp Tschauner,Goalkeeper,Germany,Rasenballsport Leipzig,bundesliga
Marcel Halstenberg,Defender,Germany,Rasenballsport Leipzig,bundesliga
Josep Martinez,Goalkeeper,Spain,Rasenballsport Leipzig,bundesliga
Peter Gulacsi,Goalkeeper,Hungary,Rasenballsport Leipzig,bundesliga
Angelino,Defender,Spain,Rasenballsport Leipzig,bundesliga
Christopher Nkunku,Attack,France,Rasenballsport Leipzig,bundesliga
Willi Orban,Defender,Hungary,Rasenballsport Leipzig,bundesliga
Ben Klefisch,Midfield,Germany,Rasenballsport Leipzig,bundesliga
Lukas Klostermann,Defender,Germany,Rasenballsport Leipzig,bundesliga
Bartosz Bialek,Attack,Poland,Vfl Wolfsburg,bundesliga
Jonas Wind,Attack,Denmark,Vfl Wolfsburg,bundesliga
Lukas Nmecha,Attack,Germany,Vfl Wolfsburg,bundesliga
Maximilian Philipp,Attack,Germany,Vfl Wolfsburg,bundesliga
Luca Waldschmidt,Attack,Germany,Vfl Wolfsburg,bundesliga
Dodi Lukebakio,Attack,Belgium,Vfl Wolfsburg,bundesliga
Renato Steffen,Attack,Switzerland,Vfl Wolfsburg,bundesliga
Felix Nmecha,Attack,Germany,Vfl Wolfsburg,bundesliga
Kevin Paredes,Midfield,United States,Vfl Wolfsburg,bundesliga
Aster Vranckx,Midfield,Belgium,Vfl Wolfsburg,bundesliga
Ridle Baku,Midfield,Germany,Vfl Wolfsburg,bundesliga
Xaver Schlager,Midfield,Austria,Vfl Wolfsburg,bundesliga
Maximilian Arnold,Midfield,Germany,Vfl Wolfsburg,bundesliga
Kevin Mbabu,Defender,Switzerland,Vfl Wolfsburg,bundesliga
Jerome Roussillon,Defender,France,Vfl Wolfsburg,bundesliga
Yannick Gerhardt,Midfield,Germany,Vfl Wolfsburg,bundesliga
John Anthony Brooks,Defender,United States,Vfl Wolfsburg,bundesliga
Micky Van De Ven,Defender,Netherlands,Vfl Wolfsburg,bundesliga
William,Defender,Brazil,Vfl Wolfsburg,bundesliga
Niklas Klinger,Goalkeeper,Germany,Vfl Wolfsburg,bundesliga
Philipp Schulze,Goalkeeper,Germany,Vfl Wolfsburg,bundesliga
Pavao Pervan,Goalkeeper,Austria,Vfl Wolfsburg,bundesliga
Anselmo Garcia Mcnulty,Defender,Ireland,Vfl Wolfsburg,bundesliga
Koen Casteels,Goalkeeper,Belgium,Vfl Wolfsburg,bundesliga
Maxence Lacroix,Defender,France,Vfl Wolfsburg,bundesliga
Max Kruse,Attack,Germany,Vfl Wolfsburg,bundesliga
Paulo Otavio,Defender,Brazil,Vfl Wolfsburg,bundesliga
Sebastiaan Bornauw,Defender,Belgium,Vfl Wolfsburg,bundesliga
Eric Maxim Choupo Moting,Attack,Cameroon,Fc Bayern Munchen,bundesliga
Robert Lewandowski,Attack,Poland,Fc Bayern Munchen,bundesliga
Thomas Muller,Attack,Germany,Fc Bayern Munchen,bundesliga
Kingsley Coman,Attack,France,Fc Bayern Munchen,bundesliga
Serge Gnabry,Attack,Germany,Fc Bayern Munchen,bundesliga
Leroy Sane,Attack,Germany,Fc Bayern Munchen,bundesliga
Paul Wanner,Attack,Germany,Fc Bayern Munchen,bundesliga
Jamal Musiala,Attack,Germany,Fc Bayern Munchen,bundesliga
Marc Roca,Midfield,Spain,Fc Bayern Munchen,bundesliga
Leon Goretzka,Midfield,Germany,Fc Bayern Munchen,bundesliga
Joshua Kimmich,Midfield,Germany,Fc Bayern Munchen,bundesliga
Josip Stanisic,Defender,Croatia,Fc Bayern Munchen,bundesliga
Benjamin Pavard,Defender,France,Fc Bayern Munchen,bundesliga
Corentin Tolisso,Midfield,France,Fc Bayern Munchen,bundesliga
Malik Tillman,Attack,United States,Fc Bayern Munchen,bundesliga
Alphonso Davies,Defender,Canada,Fc Bayern Munchen,bundesliga
Niklas Sule,Defender,Germany,Fc Bayern Munchen,bundesliga
Dayot Upamecano,Defender,France,Fc Bayern Munchen,bundesliga
Lucas Hernandez,Defender,France,Fc Bayern Munchen,bundesliga
Christian Fruchtl,Goalkeeper,Germany,Fc Bayern Munchen,bundesliga
Sven Ulreich,Goalkeeper,Germany,Fc Bayern Munchen,bundesliga
Manuel Neuer,Goalkeeper,Germany,Fc Bayern Munchen,bundesliga
Marcel Sabitzer,Midfield,Austria,Fc Bayern Munchen,bundesliga
Bouna Sarr,Defender,Senegal,Fc Bayern Munchen,bundesliga
Tanguy Nianzou,Defender,France,Fc Bayern Munchen,bundesliga
Omar Richards,Defender,England,Fc Bayern Munchen,bundesliga
Mohamed Sankoh,Attack,Netherlands,Vfb Stuttgart,bundesliga
Alexis Tibidi,Attack,France,Vfb Stuttgart,bundesliga
Wahid Faghir,Attack,Denmark,Vfb Stuttgart,bundesliga
Tiago Tomas,Attack,Portugal,Vfb Stuttgart,bundesliga
Chris Fuhrich,Attack,Germany,Vfb Stuttgart,bundesliga
Daniel Didavi,Attack,Germany,Vfb Stuttgart,bundesliga
Lilian Egloff,Attack,Germany,Vfb Stuttgart,bundesliga
Tanguy Coulibaly,Attack,France,Vfb Stuttgart,bundesliga
Mateo Klimowicz,Attack,Germany,Vfb Stuttgart,bundesliga
Philipp Forster,Attack,Germany,Vfb Stuttgart,bundesliga
Erik Thommy,Midfield,Germany,Vfb Stuttgart,bundesliga
Roberto Massimo,Midfield,Germany,Vfb Stuttgart,bundesliga
Silas,Midfield,DR Congo,Vfb Stuttgart,bundesliga
Sasa Kalajdzic,Attack,Austria,Vfb Stuttgart,bundesliga
Clinton Mola,Midfield,England,Vfb Stuttgart,bundesliga
Enzo Millot,Midfield,France,Vfb Stuttgart,bundesliga
Naouirou Ahamada,Midfield,France,Vfb Stuttgart,bundesliga
Nikolas Nartey,Midfield,Denmark,Vfb Stuttgart,bundesliga
Orel Mangala,Midfield,Belgium,Vfb Stuttgart,bundesliga
Pascal Stenzel,Defender,Germany,Vfb Stuttgart,bundesliga
Borna Sosa,Defender,Croatia,Vfb Stuttgart,bundesliga
Waldemar Anton,Defender,Germany,Vfb Stuttgart,bundesliga
Konstantinos Mavropanos,Defender,Greece,Vfb Stuttgart,bundesliga
Florian Schock,Goalkeeper,Germany,Vfb Stuttgart,bundesliga
Fabian Bredlow,Goalkeeper,Germany,Vfb Stuttgart,bundesliga
Florian Muller,Goalkeeper,Germany,Vfb Stuttgart,bundesliga
Atakan Karazor,Midfield,Germany,Vfb Stuttgart,bundesliga
Wataru Endo,Midfield,Japan,Vfb Stuttgart,bundesliga
Omar Marmoush,Attack,Egypt,Vfb Stuttgart,bundesliga
Omer Beyaz,Attack,Turkey,Vfb Stuttgart,bundesliga
Hiroki Ito,Defender,Japan,Vfb Stuttgart,bundesliga
Breel Embolo,Attack,Switzerland,Borussia Monchengladbach,bundesliga
Alassane Plea,Attack,France,Borussia Monchengladbach,bundesliga
Conor Noss,Attack,Ireland,Borussia Monchengladbach,bundesliga
Jonas Hofmann,Attack,Germany,Borussia Monchengladbach,bundesliga
Marcus Thuram,Attack,France,Borussia Monchengladbach,bundesliga
Lars Stindl,Attack,Germany,Borussia Monchengladbach,bundesliga
Keanan Bennetts,Midfield,England,Borussia Monchengladbach,bundesliga
Laszlo Benes,Midfield,Slovakia,Borussia Monchengladbach,bundesliga
Florian Neuhaus,Midfield,Germany,Borussia Monchengladbach,bundesliga
Kouadio Kone,Midfield,France,Borussia Monchengladbach,bundesliga
Christoph Kramer,Midfield,Germany,Borussia Monchengladbach,bundesliga
Joe Scally,Defender,United States,Borussia Monchengladbach,bundesliga
Ramy Bensebaini,Defender,Algeria,Borussia Monchengladbach,bundesliga
Mamadou Doucoure,Defender,France,Borussia Monchengladbach,bundesliga
Tony Jantschke,Defender,Germany,Borussia Monchengladbach,bundesliga
Jordan Beyer,Defender,Germany,Borussia Monchengladbach,bundesliga
Stefan Lainer,Defender,Austria,Borussia Monchengladbach,bundesliga
Nico Elvedi,Defender,Switzerland,Borussia Monchengladbach,bundesliga
Matthias Ginter,Defender,Germany,Borussia Monchengladbach,bundesliga
Marvin Friedrich,Defender,Germany,Borussia Monchengladbach,bundesliga
Jonas Kersken,Goalkeeper,Germany,Borussia Monchengladbach,bundesliga
Luca Netz,Defender,Germany,Borussia Monchengladbach,bundesliga
Jan Olschowsky,Goalkeeper,Germany,Borussia Monchengladbach,bundesliga
Patrick Herrmann,Attack,Germany,Borussia Monchengladbach,bundesliga
Tobias Sippel,Goalkeeper,Germany,Borussia Monchengladbach,bundesliga
Yann Sommer,Goalkeeper,Switzerland,Borussia Monchengladbach,bundesliga
Fisnik Asllani,Attack,Germany,Tsg 1899 Hoffenheim,bundesliga
Georginio Rutter,Attack,France,Tsg 1899 Hoffenheim,bundesliga
Ihlas Bebou,Attack,Togo,Tsg 1899 Hoffenheim,bundesliga
Robert Skov,Attack,Denmark,Tsg 1899 Hoffenheim,bundesliga
Jacob Bruun Larsen,Attack,Denmark,Tsg 1899 Hoffenheim,bundesliga
Tom Bischof,Attack,Germany,Tsg 1899 Hoffenheim,bundesliga
Marco John,Midfield,Germany,Tsg 1899 Hoffenheim,bundesliga
Dennis Geiger,Midfield,Germany,Tsg 1899 Hoffenheim,bundesliga
Sebastian Rudy,Midfield,Germany,Tsg 1899 Hoffenheim,bundesliga
Angelo Stiller,Midfield,Germany,Tsg 1899 Hoffenheim,bundesliga
Diadie Samassekou,Midfield,Mali,Tsg 1899 Hoffenheim,bundesliga
Pavel Kaderabek,Defender,Czech Republic,Tsg 1899 Hoffenheim,bundesliga
Christoph Baumgartner,Attack,Austria,Tsg 1899 Hoffenheim,bundesliga
Munas Dabbur,Attack,Israel,Tsg 1899 Hoffenheim,bundesliga
Benjamin Hubner,Defender,Germany,Tsg 1899 Hoffenheim,bundesliga
David Raum,Defender,Germany,Tsg 1899 Hoffenheim,bundesliga
Ermin Bicakcic,Defender,Bosnia-Herzegovina,Tsg 1899 Hoffenheim,bundesliga
Florian Grillitsch,Midfield,Austria,Tsg 1899 Hoffenheim,bundesliga
Havard Nordtveit,Defender,Norway,Tsg 1899 Hoffenheim,bundesliga
Kevin Akpoguma,Defender,Nigeria,Tsg 1899 Hoffenheim,bundesliga
Nahue Noll,Goalkeeper,Germany,Tsg 1899 Hoffenheim,bundesliga
Luca Philipp,Goalkeeper,Germany,Tsg 1899 Hoffenheim,bundesliga
Kasim Adams,Defender,Ghana,Tsg 1899 Hoffenheim,bundesliga
Oliver Baumann,Goalkeeper,Germany,Tsg 1899 Hoffenheim,bundesliga
Chris Richards,Defender,United States,Tsg 1899 Hoffenheim,bundesliga
Stefan Posch,Defender,Austria,Tsg 1899 Hoffenheim,bundesliga
Justin Che,Defender,United States,Tsg 1899 Hoffenheim,bundesliga
Philipp Pentke,Goalkeeper,Germany,Tsg 1899 Hoffenheim,bundesliga
Kevin Vogt,Defender,Germany,Tsg 1899 Hoffenheim,bundesliga
Andrej Kramaric,Attack,Croatia,Tsg 1899 Hoffenheim,bundesliga
Youssoufa Moukoko,Attack,Germany,Borussia Dortmund,bundesliga
Donyell Malen,Attack,Netherlands,Borussia Dortmund,bundesliga
Erling Haaland,Attack,Norway,Borussia Dortmund,bundesliga
Jamie Bynoe Gittens,Attack,England,Borussia Dortmund,bundesliga
Thorgan Hazard,Attack,Belgium,Borussia Dortmund,bundesliga
Marius Wolf,Attack,Germany,Borussia Dortmund,bundesliga
Reinier,Attack,Brazil,Borussia Dortmund,bundesliga
Marco Reus,Attack,Germany,Borussia Dortmund,bundesliga
Giovanni Reyna,Attack,United States,Borussia Dortmund,bundesliga
Jude Bellingham,Midfield,England,Borussia Dortmund,bundesliga
Abdoulaye Kamara,Midfield,Guinea,Borussia Dortmund,bundesliga
Axel Witsel,Midfield,Belgium,Borussia Dortmund,bundesliga
Emre Can,Midfield,Germany,Borussia Dortmund,bundesliga
Lion Semic,Defender,Germany,Borussia Dortmund,bundesliga
Felix Passlack,Defender,Germany,Borussia Dortmund,bundesliga
Thomas Meunier,Defender,Belgium,Borussia Dortmund,bundesliga
Marcel Schmelzer,Defender,Germany,Borussia Dortmund,bundesliga
Tom Rothe,Defender,Germany,Borussia Dortmund,bundesliga
Nico Schulz,Defender,Germany,Borussia Dortmund,bundesliga
Raphael Guerreiro,Defender,Portugal,Borussia Dortmund,bundesliga
Soumaila Coulibaly,Defender,France,Borussia Dortmund,bundesliga
Marin Pongracic,Defender,Croatia,Borussia Dortmund,bundesliga
Dan Axel Zagadou,Defender,France,Borussia Dortmund,bundesliga
Mats Hummels,Defender,Germany,Borussia Dortmund,bundesliga
Stefan Drljaca,Goalkeeper,Germany,Borussia Dortmund,bundesliga
Marwin Hitz,Goalkeeper,Switzerland,Borussia Dortmund,bundesliga
Roman Burki,Goalkeeper,Switzerland,Borussia Dortmund,bundesliga
Luca Unbehaun,Goalkeeper,Germany,Borussia Dortmund,bundesliga
Mateu Morey Bauza,Defender,Spain,Borussia Dortmund,bundesliga
Mahmoud Dahoud,Midfield,Germany,Borussia Dortmund,bundesliga
Steffen Tigges,Attack,Germany,Borussia Dortmund,bundesliga
Julian Brandt,Attack,Germany,Borussia Dortmund,bundesliga
Manuel Akanji,Defender,Switzerland,Borussia Dortmund,bundesliga
Gregor Kobel,Goalkeeper,Switzerland,Borussia Dortmund,bundesliga
Lucas Alario,Attack,Argentina,Bayer 04 Leverkusen,bundesliga
Sardar Azmoun,Attack,Iran,Bayer 04 Leverkusen,bundesliga
Patrik Schick,Attack,Czech Republic,Bayer 04 Leverkusen,bundesliga
Iker Bravo,Attack,Spain,Bayer 04 Leverkusen,bundesliga
Florian Wirtz,Attack,Germany,Bayer 04 Leverkusen,bundesliga
Moussa Diaby,Attack,France,Bayer 04 Leverkusen,bundesliga
Charles Aranguiz,Midfield,Chile,Bayer 04 Leverkusen,bundesliga
Exequiel Palacios,Midfield,Argentina,Bayer 04 Leverkusen,bundesliga
Kerem Demirbay,Midfield,Germany,Bayer 04 Leverkusen,bundesliga
Julian Baumgartlinger,Midfield,Austria,Bayer 04 Leverkusen,bundesliga
Timothy Fosu Mensah,Defender,Netherlands,Bayer 04 Leverkusen,bundesliga
Daley Sinkgraven,Defender,Netherlands,Bayer 04 Leverkusen,bundesliga
Mitchel Bakker,Defender,Netherlands,Bayer 04 Leverkusen,bundesliga
Piero Hincapie,Defender,Ecuador,Bayer 04 Leverkusen,bundesliga
Odilon Kossounou,Defender,Cote d'Ivoire,Bayer 04 Leverkusen,bundesliga
Zidan Sertdemir,Midfield,Denmark,Bayer 04 Leverkusen,bundesliga
Jonathan Tah,Defender,Germany,Bayer 04 Leverkusen,bundesliga
Edmond Tapsoba,Defender,Burkina Faso,Bayer 04 Leverkusen,bundesliga
Jeremie Frimpong,Defender,Netherlands,Bayer 04 Leverkusen,bundesliga
Robert Andrich,Midfield,Germany,Bayer 04 Leverkusen,bundesliga
Lennart Grill,Goalkeeper,Germany,Bayer 04 Leverkusen,bundesliga
Paulinho,Attack,Brazil,Bayer 04 Leverkusen,bundesliga
Niklas Lomb,Goalkeeper,Germany,Bayer 04 Leverkusen,bundesliga
Andrey Lunev,Goalkeeper,Russia,Bayer 04 Leverkusen,bundesliga
Amine Adli,Attack,France,Bayer 04 Leverkusen,bundesliga
Karim Bellarabi,Attack,Germany,Bayer 04 Leverkusen,bundesliga
Lukas Hradecky,Goalkeeper,Finland,Bayer 04 Leverkusen,bundesliga
Mauro Icardi,Attack,Argentina,Fc Paris Saint Germain,ligue-1
Kylian Mbappe,Attack,France,Fc Paris Saint Germain,ligue-1
Angel Di Maria,Attack,Argentina,Fc Paris Saint Germain,ligue-1
Lionel Messi,Attack,Argentina,Fc Paris Saint Germain,ligue-1
Julian Draxler,Attack,Germany,Fc Paris Saint Germain,ligue-1
Neymar,Attack,Brazil,Fc Paris Saint Germain,ligue-1
Ismael Gharbi,Attack,Spain,Fc Paris Saint Germain,ligue-1
Edouard Michut,Attack,France,Fc Paris Saint Germain,ligue-1
Xavi Simons,Attack,Netherlands,Fc Paris Saint Germain,ligue-1
Junior Dina Ebimbe,Midfield,France,Fc Paris Saint Germain,ligue-1
Ander Herrera,Midfield,Spain,Fc Paris Saint Germain,ligue-1
Idrissa Gueye,Midfield,Senegal,Fc Paris Saint Germain,ligue-1
Georginio Wijnaldum,Midfield,Netherlands,Fc Paris Saint Germain,ligue-1
Nathan Bitumazala,Midfield,France,Fc Paris Saint Germain,ligue-1
Marco Verratti,Midfield,Italy,Fc Paris Saint Germain,ligue-1
Leandro Paredes,Midfield,Argentina,Fc Paris Saint Germain,ligue-1
Danilo Pereira,Midfield,Portugal,Fc Paris Saint Germain,ligue-1
Achraf Hakimi,Defender,Morocco,Fc Paris Saint Germain,ligue-1
Layvin Kurzawa,Defender,France,Fc Paris Saint Germain,ligue-1
Colin Dagba,Defender,France,Fc Paris Saint Germain,ligue-1
El Chadaille Bitshiabu,Defender,France,Fc Paris Saint Germain,ligue-1
Juan Bernat,Defender,Spain,Fc Paris Saint Germain,ligue-1
Sergio Ramos,Defender,Spain,Fc Paris Saint Germain,ligue-1
Nuno Mendes,Defender,Portugal,Fc Paris Saint Germain,ligue-1
Marquinhos,Defender,Brazil,Fc Paris Saint Germain,ligue-1
Thilo Kehrer,Defender,Germany,Fc Paris Saint Germain,ligue-1
Presnel Kimpembe,Defender,France,Fc Paris Saint Germain,ligue-1
Denis Franchi,Goalkeeper,Italy,Fc Paris Saint Germain,ligue-1
